domain	kb_version	paper_id	theory	paper_title	author	year	kb_file	doi	link
ep-core	v0.2.1	021	Collective Restoration Theory	Restoration in Nature: Beyond the Conventional Narrative	Terry Hartig	2021	collective_restoration_theory-hartig-2021-core.md	10.1007/978-3-030-69020-5_5	https://doi.org/10.1007/978-3-030-69020-5_5
ep-core	v0.2.1	021	Collective Restoration Theory	Restoration in Nature: Beyond the Conventional Narrative	Terry Hartig	2021	collective_restoration_theory-hartig-2021-details.md	10.1007/978-3-030-69020-5_5	https://doi.org/10.1007/978-3-030-69020-5_5
ep-core	v0.2.1	011	Directed Attention Shared Resource	Directed Attention as a Common Resource for Executive Functioning and Self-Regulation	Kaplan & Berman	2010	directed_attention_shared_resource_kaplan_2010_core.md	10.1177/1745691609356784	https://doi.org/10.1177/1745691609356784
ep-core	v0.2.1	011	Directed Attention Shared Resource	Directed Attention as a Common Resource for Executive Functioning and Self-Regulation	Kaplan & Berman	2010	directed_attention_shared_resource_kaplan_2010_details.md	10.1177/1745691609356784	https://doi.org/10.1177/1745691609356784
ep-core	v0.2.1	030	Ecological Approach to Perception	The Relevance of Gibson’s Ecological Approach to Perception for Environment–Behavior Studies	Harry Heft	1997	ecological_approach_heft_1997_core.md	10.1007/978-1-4757-4425-5_3	https://doi.org/10.1007/978-1-4757-4425-5_3
ep-core	v0.2.1	006	Ecological Approach to Landscape Perception	Affordances and the perception of landscape: an inquiry into environmental perception and aesthetics	Harry Heft	2010	ecological_approach_landscape-heft-2010-core.md	10.4324/9780203853252-12	https://doi.org/10.4324/9780203853252-12
ep-core	v0.2.1	006	Ecological Approach to Landscape Perception	Affordances and the perception of landscape: an inquiry into environmental perception and aesthetics	Harry Heft	2010	ecological_approach_landscape-heft-2010-details.md	10.4324/9780203853252-12	https://doi.org/10.4324/9780203853252-12
ep-core	v0.2.1	018	Ecological Approach to Place	Places: Widening the Scope of an Ecological Approach to Perception–Action With an Emphasis on Child Development	Harry Heft	2018	ecological_approach_to_place-heft-2018-core.md	10.1080/10407413.2018.1410045	https://doi.org/10.1080/10407413.2018.1410045
ep-core	v0.2.1	018	Ecological Approach to Place	Places: Widening the Scope of an Ecological Approach to Perception–Action With an Emphasis on Child Development	Harry Heft	2018	ecological_approach_to_place-heft-2018-details.md	10.1080/10407413.2018.1410045	https://doi.org/10.1080/10407413.2018.1410045
ep-core	v0.2.1	005	Environmental Preference Matrix	Aesthetics, Affect, and Cognition: Environmental Preference from an Evolutionary Perspective	Stephen Kaplan	1987	environmental_preference_matrix-kaplan-1987-core.md	10.1177/0013916587191001	https://doi.org/10.1177/0013916587191001
ep-core	v0.2.1	005	Environmental Preference Matrix	Aesthetics, Affect, and Cognition: Environmental Preference from an Evolutionary Perspective	Stephen Kaplan	1987	environmental_preference_matrix-kaplan-1987-details.md	10.1177/0013916587191001	https://doi.org/10.1177/0013916587191001
ep-core	v0.2.1	013	Goal-Framing Theory	Goal-framing Theory and Norm-Guided Environmental Behavior	Lindenberg & Steg	2013	goal_framing_theory-lindenberg-2013-core.md	10.4324/9780203141182-6	https://doi.org/10.4324/9780203141182-6
ep-core	v0.2.1	013	Goal-Framing Theory	Goal-framing Theory and Norm-Guided Environmental Behavior	Lindenberg & Steg	2013	goal_framing_theory-lindenberg-2013-details.md	10.4324/9780203141182-6	https://doi.org/10.4324/9780203141182-6
ep-core	v0.2.1	014	Human Crowding Personal Control	Human Crowding and Personal Control: An Integration of the Research	Schmidt & Keating	1979	human_crowding_personal_control-schmidt-1979-core.md	10.1037/0033-2909.86.4.680	https://doi.org/10.1037/0033-2909.86.4.680
